Model,Dataset,Accuracy,Precision,Recall,F1,Computation_Time_Seconds
ResNet-50,UC Merced,0.8404761904761905,0.8458532114641137,0.8404761904761905,0.8365265978403137,1.1405601501464844
ViT-S/16,UC Merced,0.6142857142857143,0.6156066870033574,0.6142857142857143,0.5988396402242437,4.460596084594727
Swin-T,UC Merced,0.911904761904762,0.9208472009286544,0.911904761904762,0.91100854320559,5.598167896270752
