Model,Accuracy,Precision,Recall,F1,Computation_Time_Seconds
ResNet-50,0.8,0.8666666666666666,0.8,0.8,0.1775281429290771
ViT-S/16,0.6,0.7083333333333333,0.6,0.6233333333333333,0.2464163303375244
Swin-T,0.9,0.9166666666666666,0.9,0.8966666666666667,0.4210438728332519
